rank,geneSymbol,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,mean_amp_freq,mean_deep_del_freq,max_any_alter_freq,n_studies
1,BRCA2,0.44879695234289363,0.03403897448642783,0.42977780768947665,0.005245009318444511,0.006075324591125734,0.7651006711409396,32
2,PRKDC,0.44195413274203177,0.041748368698667986,0.4211385712440618,0.02038146880271306,0.003161755850543532,0.8187919463087249,32
3,PMS2,0.435710320373639,0.010882395573739469,0.4287358168980827,0.012961080611362462,0.001103515451672116,0.8523489932885906,32
4,FANCA,0.4124392747960149,0.0134191326371547,0.4033103218860597,0.004844854781608145,0.009564361312085722,0.8590998043052838,32
5,MLH1,0.41189766423866503,0.01003783412822827,0.4052670301656647,0.0027339631890113134,0.00314132964642403,0.8925,32
6,PARP1,0.4114185353090814,0.010056243787043164,0.40568130692663723,0.017107092105203933,0.00272908245904289,0.7846153846153846,32
7,CHEK2,0.4055753249059304,0.012150157989248124,0.39830195578564687,0.004199238998118737,0.005025583801999867,0.821917808219178,32
8,ATR,0.3960203499495213,0.029734535461403054,0.37855396567750776,0.016197587568909898,0.000930934559567554,0.859504132231405,32
9,ATM,0.3893498173987435,0.043550110582002394,0.36058498054634985,0.004391433165745306,0.007193227500788986,0.8120805369127517,32
10,CHEK1,0.366004126583523,0.005541741678634737,0.36204752805847445,0.005278271108081456,0.009510060028975247,0.8187919463087249,32
11,BRCA1,0.360503065043394,0.019079455768760266,0.34880042678137074,0.004947871980312728,0.004091254820834087,0.8493150684931506,32
12,XPA,0.35735540399532184,0.0025042954751292516,0.3555578251519993,0.0027093150274553205,0.0022721103593284445,0.7678571428571429,32
13,ERCC2,0.35127879849444194,0.011296424505847011,0.344313764433033,0.009594852178425175,0.0019970589767532567,0.7857142857142857,32
14,RAD51C,0.35122780809355286,0.004681057437675943,0.3483867086535004,0.009356011208390887,0.0009055209376012746,0.7538461538461538,32
15,TP53BP1,0.3497745760041422,0.02003699498533973,0.3358334121650644,0.0014688036018197365,0.006354262156748583,0.8035714285714286,32
16,ERCC1,0.34864096264995176,0.005763076863350005,0.34463516415511763,0.009594852178425175,0.00211936817440492,0.7857142857142857,32
17,RAD51,0.34038165465462833,0.0032935639743515844,0.3379921152006264,0.001303213945785387,0.007473846556678628,0.7857142857142857,32
18,PALB2,0.3344551080046748,0.011373032725521067,0.3267774884522184,0.00389243128061129,0.0006957563476745329,0.75,32
19,MSH2,0.2774384516519052,0.011014118123026906,0.2695683128414791,0.007384051456141099,0.000654727221764845,0.7230769230769231,32
20,MSH6,0.27710519257182686,0.014790605371018208,0.266343352593956,0.00432999969135626,0.000408343376962923,0.7230769230769231,32
