tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",BRCA1,672,89,0,0.0,0,0.0,7,0.07865168539325842,22,0.24719101123595505,2,0.02247191011235955,31,0.34831460674157305,31,0.34831460674157305,0,31,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",BRCA2,675,89,0,0.0,0,0.0,6,0.06741573033707865,39,0.43820224719101125,1,0.011235955056179775,46,0.5168539325842697,46,0.5168539325842697,0,46,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PALB2,79728,89,0,0.0,0,0.0,50,0.5617977528089888,4,0.0449438202247191,0,0.0,54,0.6067415730337079,54,0.6067415730337079,0,54,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RAD51,5888,89,0,0.0,0,0.0,10,0.11235955056179775,23,0.25842696629213485,1,0.011235955056179775,34,0.38202247191011235,34,0.38202247191011235,0,34,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RAD51C,5889,89,1,0.011235955056179775,1,0.011235955056179775,11,0.12359550561797752,19,0.21348314606741572,0,0.0,31,0.34831460674157305,31,0.34831460674157305,0,30,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",ATM,472,89,5,0.056179775280898875,0,0.0,4,0.0449438202247191,29,0.3258426966292135,0,0.0,33,0.3707865168539326,37,0.4157303370786517,4,32,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",ATR,545,89,2,0.02247191011235955,1,0.011235955056179775,18,0.20224719101123595,19,0.21348314606741572,0,0.0,38,0.42696629213483145,38,0.42696629213483145,0,36,2
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",CHEK1,1111,89,0,0.0,0,0.0,3,0.033707865168539325,29,0.3258426966292135,0,0.0,32,0.3595505617977528,32,0.3595505617977528,0,32,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",CHEK2,11200,89,2,0.02247191011235955,0,0.0,4,0.0449438202247191,44,0.4943820224719101,3,0.033707865168539325,51,0.5730337078651685,51,0.5730337078651685,0,49,2
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",MLH1,4292,89,2,0.02247191011235955,0,0.0,11,0.12359550561797752,21,0.23595505617977527,0,0.0,32,0.3595505617977528,33,0.3707865168539326,1,31,1
