geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
BRCA1,0.34831460674157305,0.44963144963144963,0.5456273764258555,0.28222996515679444,0.2777777777777778,0.34022556390977443,0.21951219512195122,0.4340659340659341,0.21578947368421053,0.2455795677799607,0.7538461538461538,0.12,0.6630434782608695,0.05759162303664921,0.08023483365949119,0.3739612188365651,0.50293542074364,0.5557851239669421,0.27906976744186046,0.8395303326810176,0.25842696629213485,0.22981366459627328,0.14519427402862986,0.4268774703557312,0.3774104683195592,0.35714285714285715,0.4697986577181208,0.039014373716632446,0.13008130081300814,0.26810176125244617,0.75,0.125
BRCA2,0.5168539325842697,0.4963144963144963,0.5275665399239544,0.4425087108013937,0.5555555555555556,0.6484962406015038,0.2682926829268293,0.6263736263736264,0.3736842105263158,0.5284872298624754,0.6923076923076923,0.215,0.18478260869565216,0.03664921465968586,0.2700587084148728,0.44321329639889195,0.649706457925636,0.75,0.5232558139534884,0.7318982387475538,0.2696629213483146,0.10559006211180125,0.2883435582822086,0.6284584980237155,0.4903581267217631,0.4838709677419355,0.7651006711409396,0.039014373716632446,0.13008130081300814,0.2446183953033268,0.7142857142857143,0.1125
PALB2,0.6067415730337079,0.47911547911547914,0.594106463878327,0.27526132404181186,0.3055555555555556,0.30639097744360905,0.24390243902439024,0.521978021978022,0.23684210526315788,0.34577603143418467,0.36923076923076925,0.2375,0.5362318840579711,0.010471204188481676,0.0684931506849315,0.38227146814404434,0.4774951076320939,0.4896694214876033,0.27906976744186046,0.6144814090019569,0.1853932584269663,0.09937888198757763,0.1411042944785276,0.4189723320158103,0.3415977961432507,0.35023041474654376,0.38926174496644295,0.03285420944558522,0.056910569105691054,0.22309197651663404,0.75,0.0875
RAD51,0.38202247191011235,0.47911547911547914,0.43346007604562736,0.3867595818815331,0.3611111111111111,0.4417293233082707,0.24390243902439024,0.510989010989011,0.3131578947368421,0.3850687622789784,0.35384615384615387,0.1275,0.14130434782608695,0.020942408376963352,0.13307240704500978,0.29916897506925205,0.6007827788649707,0.5578512396694215,0.36046511627906974,0.6908023483365949,0.25842696629213485,0.09937888198757763,0.1492842535787321,0.43873517786561267,0.44352617079889806,0.35023041474654376,0.5704697986577181,0.018480492813141684,0.11382113821138211,0.2896281800391389,0.7857142857142857,0.075
RAD51C,0.34831460674157305,0.5012285012285013,0.5247148288973384,0.31010452961672474,0.2777777777777778,0.34398496240601506,0.14634146341463414,0.41208791208791207,0.21052631578947367,0.2593320235756385,0.7538461538461538,0.1275,0.6956521739130435,0.04712041884816754,0.09001956947162426,0.40443213296398894,0.5225048923679061,0.5557851239669421,0.32558139534883723,0.7084148727984344,0.3651685393258427,0.14285714285714285,0.09406952965235174,0.45454545454545453,0.46005509641873277,0.35253456221198154,0.44966442953020136,0.039014373716632446,0.11382113821138211,0.25244618395303325,0.6964285714285714,0.1625
ATM,0.3707865168539326,0.4864864864864865,0.5826996197718631,0.5679442508710801,0.3888888888888889,0.3101503759398496,0.34146341463414637,0.5659340659340659,0.19210526315789472,0.5776031434184676,0.36923076923076925,0.1175,0.14492753623188406,0.04712041884816754,0.17221135029354206,0.31301939058171746,0.46771037181996084,0.5475206611570248,0.3023255813953488,0.6007827788649707,0.19101123595505617,0.2981366459627329,0.16155419222903886,0.5138339920948617,0.6143250688705234,0.3709677419354839,0.8120805369127517,0.026694045174537988,0.06504065040650407,0.21330724070450097,0.6428571428571429,0.1625
ATR,0.42696629213483145,0.5454545454545454,0.3431558935361217,0.7177700348432056,0.3333333333333333,0.23684210526315788,0.3902439024390244,0.6483516483516484,0.22631578947368422,0.6581532416502947,0.2153846153846154,0.295,0.36231884057971014,0.020942408376963352,0.08023483365949119,0.26869806094182824,0.4755381604696673,0.8533057851239669,0.27906976744186046,0.7142857142857143,0.2303370786516854,0.5714285714285714,0.16768916155419222,0.3675889328063241,0.3526170798898072,0.37557603686635943,0.3959731543624161,0.014373716632443531,0.0975609756097561,0.2563600782778865,0.6428571428571429,0.55
CHEK1,0.3595505617977528,0.4864864864864865,0.5798479087452472,0.5853658536585366,0.3888888888888889,0.2932330827067669,0.36585365853658536,0.5769230769230769,0.19210526315789472,0.5697445972495089,0.36923076923076925,0.11,0.13405797101449277,0.05759162303664921,0.21526418786692758,0.31301939058171746,0.4598825831702544,0.5516528925619835,0.26744186046511625,0.6183953033268101,0.20786516853932585,0.2919254658385093,0.1329243353783231,0.5296442687747036,0.6060606060606061,0.3663594470046083,0.8187919463087249,0.026694045174537988,0.07317073170731707,0.22504892367906065,0.625,0.1875
CHEK2,0.5730337078651685,0.5405405405405406,0.5532319391634981,0.3519163763066202,0.3333333333333333,0.36466165413533835,0.0975609756097561,0.5989010989010989,0.4,0.37524557956778,0.4,0.1625,0.22826086956521738,0.05759162303664921,0.15655577299412915,0.3573407202216066,0.5616438356164384,0.6735537190082644,0.8023255813953488,0.821917808219178,0.3202247191011236,0.36645962732919257,0.14519427402862986,0.5296442687747036,0.4738292011019284,0.41935483870967744,0.5906040268456376,0.17864476386036962,0.17886178861788618,0.2720156555772994,0.7857142857142857,0.075
MLH1,0.3595505617977528,0.5233415233415234,0.3688212927756654,0.5052264808362369,0.8333333333333334,0.24060150375939848,0.3902439024390244,0.7252747252747253,0.17894736842105263,0.7269155206286837,0.24615384615384617,0.8925,0.3333333333333333,0.03664921465968586,0.10176125244618395,0.2742382271468144,0.5225048923679061,0.8636363636363636,0.38372093023255816,0.5088062622309197,0.2808988764044944,0.391304347826087,0.10224948875255624,0.38735177865612647,0.3746556473829201,0.3847926267281106,0.4161073825503356,0.01026694045174538,0.11382113821138211,0.20939334637964774,0.7321428571428571,0.55
