geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
BRCA1,0.0,0.051597051597051594,0.025665399239543727,0.04878048780487805,0.0,0.03007518796992481,0.04878048780487805,0.01098901098901099,0.013157894736842105,0.021611001964636542,0.0,0.01,0.010869565217391304,0.0,0.003913894324853229,0.0110803324099723,0.03718199608610567,0.04132231404958678,0.0,0.03522504892367906,0.011235955056179775,0.0,0.002044989775051125,0.0,0.06611570247933884,0.03686635944700461,0.0,0.002053388090349076,0.0,0.09197651663405088,0.0,0.0
BRCA2,0.0,0.09828009828009827,0.026615969581749048,0.041811846689895474,0.027777777777777776,0.07142857142857142,0.0,0.038461538461538464,0.013157894736842105,0.0412573673870334,0.0,0.02,0.025362318840579712,0.010471204188481676,0.011741682974559686,0.019390581717451522,0.05283757338551859,0.05991735537190083,0.0,0.029354207436399216,0.011235955056179775,0.006211180124223602,0.016359918200409,0.015810276679841896,0.12121212121212122,0.08755760368663594,0.0,0.004106776180698152,0.016260162601626018,0.15655577299412915,0.05357142857142857,0.0125
PALB2,0.0,0.0343980343980344,0.006653992395437262,0.017421602787456445,0.0,0.022556390977443608,0.024390243902439025,0.0,0.005263157894736842,0.011787819253438114,0.0,0.005,0.018115942028985508,0.005235602094240838,0.0019569471624266144,0.002770083102493075,0.021526418786692758,0.028925619834710745,0.0,0.009784735812133072,0.0056179775280898875,0.0,0.006134969325153374,0.007905138339920948,0.03856749311294766,0.02534562211981567,0.0,0.0,0.0,0.06457925636007827,0.0,0.0
RAD51,0.0,0.019656019656019656,0.0019011406844106464,0.006968641114982578,0.0,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0,0.0025,0.0,0.005235602094240838,0.0,0.00554016620498615,0.0019569471624266144,0.004132231404958678,0.011627906976744186,0.0,0.0,0.0,0.002044989775051125,0.0,0.013774104683195593,0.004608294930875576,0.0,0.0,0.0,0.023483365949119372,0.0,0.0
RAD51C,0.011235955056179775,0.014742014742014743,0.005703422053231939,0.013937282229965157,0.0,0.009398496240601503,0.0,0.0,0.007894736842105263,0.005893909626719057,0.0,0.0,0.0,0.0,0.0,0.0,0.007827788649706457,0.010330578512396695,0.0,0.0,0.0056179775280898875,0.0,0.0,0.0,0.01928374655647383,0.002304147465437788,0.0,0.002053388090349076,0.008130081300813009,0.025440313111545987,0.0,0.0
ATM,0.056179775280898875,0.13513513513513514,0.02376425855513308,0.03484320557491289,0.027777777777777776,0.13157894736842105,0.024390243902439025,0.04945054945054945,0.018421052631578946,0.03339882121807466,0.03076923076923077,0.0325,0.021739130434782608,0.005235602094240838,0.007827788649706457,0.036011080332409975,0.0821917808219178,0.05991735537190083,0.011627906976744186,0.019569471624266144,0.0449438202247191,0.0,0.0408997955010225,0.02766798418972332,0.09641873278236915,0.0967741935483871,0.006711409395973154,0.012320328542094456,0.0,0.1898238747553816,0.03571428571428571,0.0
ATR,0.02247191011235955,0.07616707616707617,0.013307984790874524,0.03484320557491289,0.027777777777777776,0.045112781954887216,0.04878048780487805,0.03296703296703297,0.021052631578947368,0.043222003929273084,0.015384615384615385,0.0125,0.010869565217391304,0.005235602094240838,0.007827788649706457,0.0332409972299169,0.03522504892367906,0.045454545454545456,0.011627906976744186,0.015655577299412915,0.02247191011235955,0.006211180124223602,0.006134969325153374,0.015810276679841896,0.12396694214876033,0.06221198156682028,0.006711409395973154,0.006160164271047228,0.0,0.12524461839530332,0.017857142857142856,0.0
CHEK1,0.0,0.009828009828009828,0.0038022813688212928,0.006968641114982578,0.0,0.013157894736842105,0.0,0.0,0.010526315789473684,0.0019646365422396855,0.0,0.0,0.0036231884057971015,0.0,0.003913894324853229,0.0110803324099723,0.011741682974559686,0.02066115702479339,0.0,0.0019569471624266144,0.0,0.0,0.002044989775051125,0.003952569169960474,0.011019283746556474,0.013824884792626729,0.0,0.0,0.008130081300813009,0.03913894324853229,0.0,0.0
CHEK2,0.02247191011235955,0.02457002457002457,0.008555133079847909,0.013937282229965157,0.027777777777777776,0.016917293233082706,0.024390243902439025,0.005494505494505495,0.0,0.007858546168958742,0.015384615384615385,0.0025,0.007246376811594203,0.0,0.003913894324853229,0.008310249307479225,0.019569471624266144,0.014462809917355372,0.0,0.007827788649706457,0.0056179775280898875,0.0,0.0,0.003952569169960474,0.011019283746556474,0.018433179723502304,0.0,0.008213552361396304,0.008130081300813009,0.06653620352250489,0.03571428571428571,0.0
MLH1,0.02247191011235955,0.019656019656019656,0.0076045627376425855,0.013937282229965157,0.0,0.041353383458646614,0.0,0.0,0.002631578947368421,0.009823182711198428,0.0,0.0025,0.007246376811594203,0.0,0.003913894324853229,0.002770083102493075,0.015655577299412915,0.01859504132231405,0.0,0.007827788649706457,0.0056179775280898875,0.0,0.00408997955010225,0.003952569169960474,0.03581267217630854,0.02304147465437788,0.0,0.0,0.008130081300813009,0.06457925636007827,0.0,0.0
